"","text","story","paragraph"
"1","At last, about ten o'clock at night, I came to the doorway of the fine house where I was invited to spend the evening, after the man beside me, whom I was barely acquainted with and who had once again thrust himself unasked upon me, had marched me for two long hours around the streets.","unmasking a confidence trickster",1
"2","'Well!' I said, and clapped my hands to show that I really had to bid him goodbye. I had already made several less explicit attempts to get rid of him. I was tired out.'Are you going straight in?' he asked. I heard a sound in his mouth that was like the snapping of teeth.'Yes.'","unmasking a confidence trickster",2
"3","I had been invited out, I told him when I met him. But it was to enter a house where I longed to be that I had been invited, not to stand here at the street door looking past the ears of the man before me. Nor to fall silent with him, as if we were doomed to stay for a long time on this spot. And yet the houses around us at once took a share in our silence, and the darkness over them, all the way up to the stars. And the steps of invisible passers-by, which one could not take the trouble to elucidate, and the wind persistently buffeting the other side of the street, and a gramophone singing behind the closed windows of some room - they all announced themselves in this silence, as if it were their own possession for the time past and to come.","unmasking a confidence trickster",3
"4","And my companion subscribed to it in his own name and - with a smile - in mine too, stretched his right arm up along the wall and leaned his cheek upon it, shutting his eyes.","unmasking a confidence trickster",4
"5","But I did not wait to see the end of that smile, for shame suddenly caught hold of me. It had needed that smile to let me know that the man was a confidence trickster, nothing else. And yet I had been months in the town and thought I knew all about confidence tricksters, how they came slinking out of side streets by night to meet us with outstretched hands like tavernkeepers, how they haunted the advertisement pillars we stood beside, sliding around them as if playing hide-and-seek and spying on us with at least one eye, how they suddenly appeared on the curb of the pavement at cross-streets when we were hesitating! I understood them so well, they were the first acquaintances I had made in the town's small taverns, and to them I owed my first inkling of a ruthless hardness which I was now so conscious of, everywhere on earth, that I was even beginning to feel it in myself. How persistently they blocked our way, even when we had long shaken ourselves free, even when, that is, they had nothing more to hope for! How they refused to give up, to admit defeat, but kept shooting glances at us that even from a distance were still compelling! And the means they employed were always the same: they planted themselves before us, looking as large as possible, tried to hinder us from going where we purposed, offered us instead a habitation in their own bosoms, and when at last all our balked feelings rose in revolt they welcomed that like an embrace into which they threw themselves face foremost.","unmasking a confidence trickster",5
"6","And it had taken me such a long time in this man's company to recognize the same old game. I rubbed my finger tips together to wipe away the disgrace.","unmasking a confidence trickster",6
"7","My companion was still leaning there as before, still believing himself a successful trickster, and his self-complacency glowed pink on his free cheek.","unmasking a confidence trickster",7
"8","'Caught in the act!' said I, tapping him lightly on the shoulder. Then I ran up the steps, and the disinterested devotion on the servants' faces in the hall delighted me like an unexpected treat. I looked at them all, one after another, while they took my greatcoat off and wiped my shoes clean.","unmasking a confidence trickster",8
"9","With a deep breath of relief and straightening myself to my full height, I then entered the drawing room.","unmasking a confidence trickster",9
"10","To lift yourself out of a miserable mood, even if you have to do it by strength of will, should be easy. I force myself out of my chair, stride around the table, exercise my head and neck, make my eyes sparkle, tighten the muscles around them. Defy my own feelings, welcome A. enthusiastically supposing he comes to see me, amiably tolerate B. in my room, swallow all that is said at C.'s, whatever pain and trouble it may cost me, in long draughts.","resolutions",1
"11","Yet even if I manage that, one single slip, and a slip cannot be avoided, will stop the whole process, easy and painful alike, and I will have to shrink back into my own circle again.","resolutions",2
"12","So perhaps the best resource is to meet everything passively, to make yourself an inert mass, and, if you feel that you are being carried away, not to let yourself be lured into taking a single unnecessary step, to stare at others with the eyes of an animal, to feel no compunction, in short, with your own hand to throttle down whatever ghostly life remains in you, that is, to enlarge the final peace of the graveyard and let nothing survive save that.","resolutions",3
"13","A characteristic movement in such a condition is to run your little finger along your eyebrows.","resolutions",4
"14","It seems so dreadful to stay a bachelor, to become an old man struggling to keep one's dignity while begging for an invitation whenever one wants to spend an evening in company, to lie ill gazing for weeks into an empty room from the corner where one's bed is, always having to say good night at the front door, never to run up a stairway beside one's wife, to have only side doors in one's room leading into other people's living rooms, having to carry one's supper home in one's hand, having to admire other people's children and not even being allowed to go on saying: 'I have none myself,' modeling oneself in appearance and behavior on one or two bachelors remembered from one's youth.","bachelors ill luck",1
"15","That's how it will be, except that in reality, both today and later, one will stand there with a palpable body and a real head, a real forehead, that is, for smiting on with one's hand.","bachelors ill luck",2
"16","What are we to do with these spring days that are now fast coming on? Early this morning the sky was gray, but if you go to the window now you are surprised and lean your cheek against the latch of the casement.","AbsentmindedWindowgazing",1
