Birth Date,Rank,Conception,Births
9-Sep,1,17-Dec,12301
19-Sep,2,27-Dec,12229
12-Sep,3,20-Dec,12224
17-Sep,4,25-Dec,12148
10-Sep,5,18-Dec,12143
7-Jul,6,14-Oct,12108
20-Sep,7,28-Dec,12107
15-Sep,8,23-Dec,12087
16-Sep,9,24-Dec,12072
18-Sep,10,26-Dec,12055
20-Dec,11,29-Mar,12009
26-Sep,12,3-Jan,11993
8-Sep,13,16-Dec,11992
23-Sep,14,31-Dec,11974
29-Dec,15,7-Apr,11956
8-Aug,16,15-Nov,11951
24-Sep,17,1-Jan,11945
8-Jul,18,15-Oct,11944
19-Dec,19,28-Mar,11935
29-Aug,20,6-Dec,11924
15-Aug,21,22-Nov,11921
22-Sep,22,30-Dec,11920
30-Dec,23,8-Apr,11889
14-Sep,24,22-Dec,11882
25-Sep,25,2-Jan,11866
27-Sep,26,4-Jan,11861
1-Jul,27,8-Oct,11860
28-Dec,28,6-Apr,11855
28-Aug,28,5-Dec,11855
2-Jul,30,9-Oct,11828
22-Aug,31,29-Nov,11825
21-Sep,32,29-Dec,11813
13-Sep,33,21-Dec,11801
30-Aug,34,7-Dec,11800
11-Jul,35,18-Oct,11794
16-Aug,36,23-Nov,11788
1-Aug,37,8-Nov,11775
18-Jul,38,25-Oct,11772
20-Aug,39,27-Nov,11771
9-Jul,40,16-Oct,11769
16-Jul,41,23-Oct,11768
25-Jul,41,1-Nov,11768
15-Jul,43,22-Oct,11754
12-Aug,44,19-Nov,11749
10-Jul,45,17-Oct,11738
27-Aug,46,4-Dec,11737
9-Aug,47,16-Nov,11721
1-Oct,48,8-Jan,11720
17-Jul,49,24-Oct,11718
23-Jul,50,30-Oct,11699
14-Aug,51,21-Nov,11692
22-Jul,52,29-Oct,11686
18-Aug,53,25-Nov,11681
21-Dec,54,30-Mar,11680
14-Jul,54,21-Oct,11680
18-Dec,56,27-Mar,11675
3-Oct,57,10-Jan,11674
27-Dec,58,5-Apr,11665
21-Jul,59,28-Oct,11664
23-Aug,60,30-Nov,11655
21-Aug,61,28-Nov,11643
19-Aug,62,26-Nov,11637
14-Feb,63,24-May,11636
26-Aug,64,3-Dec,11620
28-Jul,65,4-Nov,11614
5-Aug,66,12-Nov,11610
11-Aug,67,18-Nov,11608
24-Jul,68,31-Oct,11607
30-Jul,69,6-Nov,11599
29-Jul,70,5-Nov,11593
27-Jun,71,4-Oct,11590
7-Aug,72,14-Nov,11589
6-Aug,73,13-Nov,11586
26-Jul,74,2-Nov,11581
2-Aug,75,9-Nov,11580
25-Aug,76,2-Dec,11576
2-Oct,77,9-Jan,11572
29-Sep,77,6-Jan,11572
4-Aug,79,11-Nov,11569
21-Nov,80,28-Feb,11567
12-Jul,81,19-Oct,11565
28-Jun,82,5-Oct,11557
10-Oct,83,17-Jan,11556
31-Aug,84,8-Dec,11555
28-Sep,85,5-Jan,11554
17-Aug,86,24-Nov,11548
30-Jun,87,7-Oct,11547
19-Jul,88,26-Oct,11545
23-May,89,30-Aug,11525
31-Jul,90,7-Nov,11516
11-Sep,91,19-Dec,11503
20-Jun,92,27-Sep,11502
10-Aug,93,17-Nov,11491
4-Oct,94,11-Jan,11490
30-Sep,95,7-Jan,11489
6-Jul,96,13-Oct,11487
17-Dec,97,26-Mar,11481
13-Aug,98,20-Nov,11468
24-Aug,99,1-Dec,11452
20-Nov,100,27-Feb,11442
12-Dec,101,21-Mar,11440
5-Sep,102,13-Dec,11431
20-Jul,103,27-Oct,11428
27-Jul,104,3-Nov,11410
25-Jun,105,2-Oct,11406
7-Sep,106,15-Dec,11398
22-Dec,107,31-Mar,11388
26-Jun,108,3-Oct,11374
24-May,109,31-Aug,11367
16-Dec,110,25-Mar,11352
29-Jun,111,6-Oct,11351
1-Nov,112,8-Feb,11350
2-Jun,113,9-Sep,11345
18-Jun,114,25-Sep,11339
6-Oct,115,13-Jan,11335
3-Aug,116,10-Nov,11332
24-Jun,117,1-Oct,11328
7-Oct,118,14-Jan,11324
8-Oct,119,15-Jan,11309
7-Nov,120,14-Feb,11308
3-Jul,121,10-Oct,11304
21-Jun,122,28-Sep,11298
17-Oct,123,24-Jan,11296
6-Sep,124,14-Dec,11293
22-May,125,29-Aug,11288
14-Jun,125,21-Sep,11288
16-May,127,23-Aug,11283
24-Oct,128,31-Jan,11276
5-Oct,129,12-Jan,11272
11-Oct,130,18-Jan,11268
16-Jun,131,23-Sep,11265
15-Oct,132,22-Jan,11261
3-Jun,133,10-Sep,11256
19-Nov,134,26-Feb,11255
21-May,135,28-Aug,11254
17-Jun,136,24-Sep,11253
1-Dec,137,10-Mar,11251
23-Jun,138,30-Sep,11244
14-Nov,139,21-Feb,11240
6-Jun,139,13-Sep,11240
15-Nov,141,22-Feb,11229
10-Jun,142,17-Sep,11222
4-Jun,143,11-Sep,11221
4-Apr,144,12-Jul,11219
4-Sep,145,12-Dec,11216
12-Jun,146,19-Sep,11196
20-May,147,27-Aug,11193
5-Nov,148,12-Feb,11191
15-Dec,148,24-Mar,11191
15-Feb,150,25-May,11188
25-Oct,151,1-Feb,11183
2-Dec,152,11-Mar,11182
21-Mar,153,28-Jun,11181
13-Jul,153,20-Oct,11181
8-Nov,155,15-Feb,11180
19-Jun,156,26-Sep,11176
18-Nov,157,25-Feb,11173
1-Jun,158,8-Sep,11164
5-Jun,158,12-Sep,11164
11-Jun,160,18-Sep,11160
7-Jun,160,14-Sep,11160
15-May,162,22-Aug,11157
22-Oct,163,29-Jan,11156
14-Oct,164,21-Jan,11149
18-Oct,164,25-Jan,11149
7-Feb,164,17-May,11149
3-Dec,167,12-Mar,11142
11-Nov,168,18-Feb,11141
9-Oct,169,16-Jan,11137
17-Mar,169,24-Jun,11137
5-Dec,171,14-Mar,11132
3-Nov,172,10-Feb,11130
22-Jun,172,29-Sep,11130
4-Nov,174,11-Feb,11129
1-Mar,174,8-Jun,11129
17-Nov,176,24-Feb,11125
17-May,177,24-Aug,11122
14-Mar,178,21-Jun,11119
3-Sep,178,11-Dec,11119
16-Oct,180,23-Jan,11115
2-May,181,9-Aug,11113
22-Feb,182,1-Jun,11111
28-Oct,183,4-Feb,11102
7-Mar,184,14-Jun,11087
9-Jun,185,16-Sep,11083
2-Nov,186,9-Feb,11081
6-Nov,186,13-Feb,11081
15-Jun,188,22-Sep,11078
12-Nov,189,19-Feb,11077
3-Mar,190,10-Jun,11074
5-May,191,12-Aug,11073
10-May,192,17-Aug,11071
14-May,193,21-Aug,11070
20-Oct,194,27-Jan,11065
8-Feb,195,18-May,11063
11-Apr,196,19-Jul,11059
21-Oct,197,28-Jan,11057
28-Feb,198,7-Jun,11053
24-Jan,199,3-May,11049
23-Oct,200,30-Jan,11046
28-Mar,201,5-Jul,11045
13-Jun,202,20-Sep,11041
9-May,203,16-Aug,11040
10-Nov,204,17-Feb,11039
27-Oct,205,3-Feb,11032
8-Jun,206,15-Sep,11025
10-Jan,207,19-Apr,11023
16-Nov,208,23-Feb,11022
4-Jan,209,13-Apr,11019
12-May,210,19-Aug,11016
10-Feb,211,20-May,11015
11-Feb,211,21-May,11015
12-Oct,213,19-Jan,11014
29-Oct,214,5-Feb,11012
15-Mar,215,22-Jun,11011
21-Feb,216,31-May,11008
18-Apr,217,26-Jul,11004
2-Apr,217,10-Jul,11004
12-Mar,219,19-Jun,11003
20-Mar,219,27-Jun,11003
1-May,221,8-Aug,11002
2-Sep,222,10-Dec,11000
19-May,223,26-Aug,10999
25-Apr,224,2-Aug,10996
4-Mar,225,11-Jun,10989
4-Dec,226,13-Mar,10981
5-Mar,227,12-Jun,10979
14-Jan,228,23-Apr,10976
8-Mar,228,15-Jun,10976
11-Jan,230,20-Apr,10975
25-Feb,231,4-Jun,10974
25-Mar,231,2-Jul,10974
22-Mar,233,29-Jun,10967
6-Dec,234,15-Mar,10958
8-May,235,15-Aug,10955
18-Mar,236,25-Jun,10954
5-Jan,237,14-Apr,10953
12-Apr,237,20-Jul,10953
14-Dec,239,23-Mar,10952
25-Jan,240,4-May,10951
10-Dec,240,19-Mar,10951
2-Feb,242,12-May,10949
6-May,242,13-Aug,10949
16-Feb,244,26-May,10948
7-May,245,14-Aug,10945
18-Feb,246,28-May,10940
10-Mar,246,17-Jun,10940
12-Jan,248,21-Apr,10934
11-Mar,249,18-Jun,10931
1-Sep,250,9-Dec,10930
1-Feb,251,11-May,10929
26-Oct,252,2-Feb,10928
9-Nov,253,16-Feb,10927
23-Feb,253,2-Jun,10927
7-Jan,255,16-Apr,10925
24-Mar,256,1-Jul,10921
6-Mar,256,13-Jun,10921
19-Mar,258,26-Jun,10914
6-Jan,259,15-Apr,10911
16-Apr,260,24-Jul,10909
4-Feb,261,14-May,10905
24-Feb,262,3-Jun,10904
3-May,263,10-Aug,10903
17-Jan,264,26-Apr,10901
30-May,264,6-Sep,10901
5-Apr,266,13-Jul,10900
3-Apr,267,11-Jul,10899
18-May,267,25-Aug,10899
12-Feb,269,22-May,10898
17-Apr,270,25-Jul,10897
27-Mar,271,4-Jul,10895
8-Dec,272,17-Mar,10893
9-Feb,272,19-May,10893
19-Apr,274,27-Jul,10891
8-Apr,275,16-Jul,10890
26-Mar,276,3-Jul,10888
20-Feb,277,30-May,10886
18-Jan,278,27-Apr,10883
31-Jan,278,10-May,10883
11-Dec,278,20-Mar,10883
15-Apr,278,23-Jul,10883
26-Apr,282,3-Aug,10882
22-Apr,283,30-Jul,10877
29-Mar,284,6-Jul,10873
23-Jan,285,2-May,10865
23-Apr,286,31-Jul,10864
7-Apr,287,15-Jul,10859
27-Feb,288,6-Jun,10858
30-Nov,289,9-Mar,10855
13-Dec,289,22-Mar,10855
17-Feb,291,27-May,10854
19-Oct,292,26-Jan,10850
9-Dec,293,18-Mar,10849
24-Apr,294,1-Aug,10845
26-Jan,295,5-May,10843
3-Feb,295,13-May,10843
28-Jan,297,7-May,10835
9-Apr,298,17-Jul,10830
25-May,299,1-Sep,10827
10-Apr,300,18-Jul,10826
20-Jan,301,29-Apr,10825
21-Jan,302,30-Apr,10824
27-Jan,303,6-May,10823
21-Apr,304,29-Jul,10817
30-Oct,305,6-Feb,10815
3-Jan,306,12-Apr,10813
14-Apr,307,22-Jul,10812
28-Apr,308,5-Aug,10803
2-Mar,309,9-Jun,10802
28-May,310,4-Sep,10797
6-Feb,311,16-May,10794
29-May,312,5-Sep,10782
31-Mar,313,8-Jul,10779
16-Mar,314,23-Jun,10773
13-Oct,315,20-Jan,10768
9-Mar,316,16-Jun,10765
29-Nov,317,8-Mar,10764
30-Jan,318,9-May,10752
11-May,319,18-Aug,10744
13-Nov,320,20-Feb,10742
7-Dec,321,16-Mar,10741
23-Mar,322,30-Jun,10739
29-Apr,323,6-Aug,10735
30-Apr,324,7-Aug,10731
26-Feb,325,5-Jun,10727
31-May,326,7-Sep,10719
4-May,327,11-Aug,10717
30-Mar,328,7-Jul,10714
20-Apr,328,28-Jul,10714
13-May,330,20-Aug,10697
27-May,331,3-Sep,10693
19-Jan,332,28-Apr,10691
5-Feb,333,15-May,10685
22-Jan,334,1-May,10673
19-Feb,334,29-May,10673
22-Nov,336,1-Mar,10664
27-Apr,336,4-Aug,10664
13-Mar,338,20-Jun,10654
6-Apr,339,14-Jul,10639
9-Jan,340,18-Apr,10624
16-Jan,341,25-Apr,10623
13-Jan,342,22-Apr,10622
