"SOURCE","TARGET"
"Colorado State","Hawaii"
"Duquesne","Massachusetts"
"Prairie View A&M","Rice"
"New Mexico State","Wyoming"
"Savannah State","Alabama-Birmingham"
"Central Connecticut State","Ball State"
"San Jose State","California-Davis"
"Connecticut","Central Florida"
"Kennesaw State","Georgia State"
"Southeastern Louisiana","Louisiana-Monroe"
"New Mexico State","Minnesota"
"Purdue","Northwestern"
"Missouri State","Oklahoma State"
"Northwestern State","Texas A&M"
"Weber State","Utah"
"Tulane","Wake Forest"
"Colorado State","Colorado"
"Army","Duke"
"Monmouth","Eastern Michigan"
"Utah State","Michigan State"
"Portland State","Nevada"
"San Diego State","Stanford"
"Western Michigan","Syracuse"
"Western Kentucky","Wisconsin"
"Stony Brook","Air Force"
"Louisville","Alabama"
"Texas-San Antonio","Arizona State"
"Eastern Illinois","Arkansas"
"Southeast Missouri State","Arkansas State"
"Washington","Auburn"
"Abilene Christian","Baylor"
"Troy","Boise State"
"Massachusetts","Boston College"
"Arizona","Brigham Young"
"Delaware State","Buffalo"
"North Carolina","California"
"Fordham","Charlotte"
"UCLA","Cincinnati"
"Furman","Clemson"
"Charleston Southern","Florida"
"Idaho","Fresno State"
"Austin Peay","Georgia"
"South Carolina State","Georgia Southern"
"Alcorn State","Georgia Tech"
"Navy","Hawaii"
"Rice","Houston"
"Kent State","Illinois"
"Florida International","Indiana"
"Northern Illinois","Iowa"
"South Dakota","Kansas State"
"Central Michigan","Kentucky"
"Old Dominion","Liberty"
"Grambling State","Louisiana"
"South Alabama","Louisiana Tech"
"Miami OH","Marshall"
"Texas","Maryland"
"Mercer","Memphis"
"Texas Tech","Mississippi"
"Stephen F. Austin","Mississippi State"
"Tennessee-Martin","Missouri"
"Incarnate Word","New Mexico"
"Kansas","Nicholls State"
"James Madison","North Carolina State"
"Southern Methodist","North Texas"
"Texas-El Paso","Northern Arizona"
"Michigan","Notre Dame"
"Howard","Ohio"
"Oregon State","Ohio State"
"Florida Atlantic","Oklahoma"
"Bowling Green State","Oregon"
"Appalachian State","Penn State"
"Albany","Pittsburgh"
"Texas State","Rutgers"
"Coastal Carolina","South Carolina"
"Elon","South Florida"
"Nevada-Las Vegas","Southern California"
"Jackson State","Southern Mississippi"
"Southern","Texas Christian"
"Virginia Military Institute","Toledo"
"Central Arkansas","Tulsa"
"Middle Tennessee State","Vanderbilt"
"Temple","Villanova"
"Richmond","Virginia"
"Wyoming","Washington State"
"Tennessee","West Virginia"
"Miami FL","Louisiana State"
"East Carolina","North Carolina A&T"
"Florida State","Virginia Tech"
"Southern Methodist","Texas Christian"
"Morgan State","Akron"
"Arkansas State","Alabama"
"Charlotte","Appalachian State"
"Michigan State","Arizona State"
"Liberty","Army"
"Alabama State","Auburn"
"Texas-San Antonio","Baylor"
"Connecticut","Boise State"
"Holy Cross","Boston College"
"Temple","Buffalo"
"Brigham Young","California"
"South Carolina State","Central Florida"
"Miami OH","Cincinnati"
"Texas A&M","Clemson"
"Alabama-Birmingham","Coastal Carolina"
"Nebraska","Colorado"
"Arkansas","Colorado State"
"Northwestern","Duke"
"North Carolina","East Carolina"
"Purdue","Eastern Michigan"
"Air Force","Florida Atlantic"
"Old Dominion","Florida International"
"Samford","Florida State"
"South Carolina","Georgia"
"Massachusetts","Georgia Southern"
"Rice","Hawaii"
"Arizona","Houston"
"Western Illinois","Illinois"
"Virginia","Indiana"
"Iowa State","Iowa"
"Central Michigan","Kansas"
"Howard","Kent State"
"Florida","Kentucky"
"Southeastern Louisiana","Louisiana State"
"Southern","Louisiana Tech"
"Southern Mississippi","Louisiana-Monroe"
"Indiana State","Louisville"
"Western Kentucky","Maine"
"Eastern Kentucky","Marshall"
"Bowling Green State","Maryland"
"Savannah State","Miami FL"
"Western Michigan","Michigan"
"Tennessee-Martin","Middle Tennessee State"
"Fresno State","Minnesota"
"Southern Illinois","Mississippi"
"Kansas State","Mississippi State"
"Wyoming","Missouri"
"Memphis","Navy"
"Texas-El Paso","Nevada-Las Vegas"
"Georgia State","North Carolina State"
"Incarnate Word","North Texas"
"Ball State","Notre Dame"
"Rutgers","Ohio State"
"UCLA","Oklahoma"
"South Alabama","Oklahoma State"
"Portland State","Oregon"
"Southern Utah","Oregon State"
"Pittsburgh","Penn State"
"Sacramento State","San Diego State"
"Georgia Tech","South Florida"
"Southern California","Stanford"
"Wagner","Syracuse"
"East Tennessee State","Tennessee"
"Tulsa","Texas"
"Texas Southern","Texas State"
"Lamar","Texas Tech"
"Florida A&M","Troy"
"Nicholls State","Tulane"
"Northern Illinois","Utah"
"New Mexico State","Utah State"
"Nevada","Vanderbilt"
"William & Mary","Virginia Tech"
"Towson","Wake Forest"
"North Dakota","Washington"
"San Jose State","Washington State"
"Youngstown State","West Virginia"
"New Mexico","Wisconsin"
"Campbell","Coastal Carolina"
"Wake Forest","Boston College"
"Tennessee Tech","Utah State"
"Georgia State","Memphis"
"Northwestern","Akron"
"Mississippi","Alabama"
"Tulane","Alabama-Birmingham"
"Southern Utah","Arizona"
"Tulsa","Arkansas State"
"Hawaii","Army"
"Eastern Kentucky","Bowling Green State"
"Wisconsin","Brigham Young"
"Eastern Michigan","Buffalo"
"Idaho State","California"
"Old Dominion","Charlotte"
"Alabama A&M","Cincinnati"
"Georgia Southern","Clemson"
"New Hampshire","Colorado"
"Rhode Island","Connecticut"
"Baylor","Duke"
"Colorado State","Florida"
"Bethune-Cookman","Florida Atlantic"
"Massachusetts","Florida International"
"UCLA","Fresno State"
"Middle Tennessee State","Georgia"
"Ball State","Indiana"
"Northern Iowa","Iowa"
"Rutgers","Kansas"
"Texas-San Antonio","Kansas State"
"Murray State","Kentucky"
"Auburn","Louisiana State"
"Western Kentucky","Louisville"
"Toledo","Miami FL"
"Southern Methodist","Michigan"
"Miami OH","Minnesota"
"Louisiana","Mississippi State"
"Purdue","Missouri"
"Lehigh","Navy"
"Oregon State","Nevada"
"Prairie View A&M","Nevada-Las Vegas"
"New Mexico State","New Mexico"
"Arkansas","North Texas"
"Central Michigan","Northern Illinois"
"Vanderbilt","Notre Dame"
"Texas Christian","Ohio State"
"Iowa State","Oklahoma"
"Boise State","Oklahoma State"
"San Jose State","Oregon"
"Kent State","Penn State"
"Georgia Tech","Pittsburgh"
"Arizona State","San Diego State"
"Texas State","South Alabama"
"Illinois","South Florida"
"California-Davis","Stanford"
"Florida State","Syracuse"
"Maryland","Temple"
"Texas-El Paso","Tennessee"
"Southern California","Texas"
"Louisiana-Monroe","Texas A&M"
"Houston","Texas Tech"
"Nebraska","Troy"
"Ohio","Virginia"
"Utah","Washington"
"Eastern Washington","Washington State"
"Delaware State","Western Michigan"
"Wofford","Wyoming"
"Tulsa","Temple"
"Florida Atlantic","Central Florida"
"Illinois","Penn State"
"Washington State","Southern California"
"Texas A&M","Alabama"
"Gardner-Webb","Appalachian State"
"Oregon State","Arizona"
"Nevada-Las Vegas","Arkansas State"
"Arkansas","Auburn"
"Kansas","Baylor"
"McNeese State","Brigham Young"
"Rutgers","Buffalo"
"Maine","Central Michigan"
"Ohio","Cincinnati"
"Georgia Tech","Clemson"
"Louisiana","Coastal Carolina"
"North Carolina Central","Duke"
"Tennessee","Florida"
"Northern Illinois","Florida State"
"Missouri","Georgia"
"Duquesne","Hawaii"
"Texas Southern","Houston"
"Colorado State","Illinois State"
"Akron","Iowa State"
"Mississippi State","Kentucky"
"Louisiana Tech","Louisiana State"
"Minnesota","Maryland"
"Charlotte","Massachusetts"
"South Alabama","Memphis"
"Florida International","Miami FL"
"Bowling Green State","Miami OH"
"Nebraska","Michigan"
"Indiana","Michigan State"
"Kent State","Mississippi"
"Texas-El Paso","New Mexico State"
"Pittsburgh","North Carolina"
"Marshall","North Carolina State"
"Liberty","North Texas"
"Wake Forest","Notre Dame"
"Tulane","Ohio State"
"Army","Oklahoma"
"Virginia Tech","Old Dominion"
"Boston College","Purdue"
"Eastern Michigan","San Diego State"
"Vanderbilt","South Carolina"
"East Carolina","South Florida"
"Navy","Southern Methodist"
"Rice","Southern Mississippi"
"Oregon","Stanford"
"Connecticut","Syracuse"
"Texas Christian","Texas"
"Oklahoma State","Texas Tech"
"Texas State","Texas-San Antonio"
"Nevada","Toledo"
"Louisiana-Monroe","Troy"
"Air Force","Utah State"
"Louisville","Virginia"
"Arizona State","Washington"
"Kansas State","West Virginia"
"Ball State","Western Kentucky"
"Georgia State","Western Michigan"
"Iowa","Wisconsin"
"North Carolina","Miami FL"
"UCLA","Colorado"
"Memphis","Tulane"
"Louisiana","Alabama"
"Charlotte","Alabama-Birmingham"
"South Alabama","Appalachian State"
"Oregon State","Arizona State"
"Buffalo","Army"
"Southern Mississippi","Auburn"
"Kent State","Ball State"
"Wyoming","Boise State"
"Temple","Boston College"
"Pittsburgh","Central Florida"
"Connecticut","Cincinnati"
"Syracuse","Clemson"
"Old Dominion","East Carolina"
"Mississippi State","Florida"
"Arkansas-Pine Bluff","Florida International"
"Louisville","Florida State"
"Toledo","Fresno State"
"Tennessee","Georgia"
"Arkansas State","Georgia Southern"
"Louisiana-Monroe","Georgia State"
"Bowling Green State","Georgia Tech"
"San Jose State","Hawaii"
"Rutgers","Indiana"
"South Carolina","Kentucky"
"New Mexico","Liberty"
"Mississippi","Louisiana State"
"North Texas","Louisiana Tech"
"Western Kentucky","Marshall"
"Northwestern","Michigan"
"Central Michigan","Michigan State"
"Florida Atlantic","Middle Tennessee State"
"Air Force","Nevada"
"Virginia","North Carolina State"
"Eastern Michigan","Northern Illinois"
"Stanford","Notre Dame"
"Massachusetts","Ohio"
"Penn State","Ohio State"
"Baylor","Oklahoma"
"Kansas","Oklahoma State"
"California","Oregon"
"Nebraska","Purdue"
"Arizona","Southern California"
"Houston Baptist","Southern Methodist"
"Kansas State","Texas"
"Arkansas","Texas A&M"
"Iowa State","Texas Christian"
